0_lat,0_location,0_lon,demographics-life_ex,demographics-median_inc,demographics-pct_50plus,demographics-pct_65plus,demographics-pct_africa,demographics-pct_asian,demographics-pct_disabi,demographics-pct_hispan,demographics-pct_povert,demographics-total_popu,engagement-broadband cost and speed,"engagement-cultural, arts, and entertainment institutions",engagement-opportunity for civic involvement,engagement-social involvement index,environment-air quality index,environment-drinking water quality,environment-local industrial pollution,environment-near-roadway pollution,health-access to exercise opportunities,health-health professional shortage areas,health-obesity prevalence,health-preventable hospitalization rate,health-tobacco use,livability-engagement,livability-environment,livability-health,livability-housing,livability-neighborhood,livability-opportunity,livability-transportation,neighborhood-access to grocery stores,neighborhood-access to libraries,neighborhood-access to parks,neighborhood-activity density,neighborhood-automobile accessibility,neighborhood-crime rates,neighborhood-diversity of destinations,neighborhood-transit accessibility,neighborhood-vacancy rate,opportunity-age diversity,opportunity-high school graduation rate,opportunity-income inequality,opportunity-jobs/worker,transportation-ADA-accessible stations and vehicles,transportation-congestion,transportation-crash rates,transportation-frequency of local transit service,transportation-household transportation costs,transportation-speed limits,transportation-walk trips
42.3388111,"South End, Boston, MA",-71.0765188,79,71181,23,6,15,10,12,16,21,2431,19.400 percent,0.084 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,24.000 percent,"49.930 discharges / 1,000 Medicare enrollees",15.700 percent,49,82,70,66,84,31,100,17.000 stores and markets,1.000 libraries,9.000 parks,51366.000 jobs + people / sq. mi.,198383.000 jobs,"357.000 crimes / 10,000 people",0.939 diversity score (0-1 scale),85488.000 jobs,17.700 percent,0.722 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.552 fatal crashes,427.000 buses and trains,7811.000 dollars,27.070 miles per hour,3.470 trips
42.38570379999999,"Spring Hill, Boston, MA",-71.1077157,81,99185,22,11,0,19,9,6,10,894,100.000 percent,0.084 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,22.100 percent,"55.727 discharges / 1,000 Medicare enrollees",14.100 percent,63,63,64,45,82,42,82,12.000 stores and markets,0.000 libraries,6.000 parks,19281.000 jobs + people / sq. mi.,133831.000 jobs,"160.000 crimes / 10,000 people",0.857 diversity score (0-1 scale),41477.000 jobs,0.000 percent,0.639 relative diversity,81.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.320 fatal crashes,82.000 buses and trains,9483.000 dollars,25.000 miles per hour,1.240 trips
42.3474685,"Washington Square, Boston, MA",-71.14903199999999,79,14005,27,16,23,13,12,22,51,1357,0.000 percent,0.087 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,21.800 percent,"49.930 discharges / 1,000 Medicare enrollees",18.300 percent,40,82,69,100,82,50,75,10.000 stores and markets,1.000 libraries,6.000 parks,44392.000 jobs + people / sq. mi.,133692.000 jobs,"357.000 crimes / 10,000 people",0.734 diversity score (0-1 scale),26476.000 jobs,4.600 percent,0.970 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.314 fatal crashes,183.000 buses and trains,9606.000 dollars,26.020 miles per hour,0.620 trips
42.4792618,"Woburn, Boston, MA",-71.1522765,81,63913,32,16,1,0,9,0,16,1157,93.300 percent,0.262 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,22.200 percent,"56.169 discharges / 1,000 Medicare enrollees",15.800 percent,70,63,65,55,81,50,67,8.000 stores and markets,1.000 libraries,1.000 parks,8968.000 jobs + people / sq. mi.,132575.000 jobs,"160.000 crimes / 10,000 people",0.865 diversity score (0-1 scale),14365.000 jobs,2.800 percent,0.707 relative diversity,89.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.566 fatal crashes,13.333 buses and trains,10856.000 dollars,25.510 miles per hour,0.930 trips
41.9683269,"Albany Park, Chicago, IL",-87.7280279,78,83750,27,10,6,35,10,41,8,1461,95.200 percent,0.082 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,25.400 percent,"54.349 discharges / 1,000 Medicare enrollees",19.200 percent,37,56,56,59,72,40,99,10.000 stores and markets,0.000 libraries,4.000 parks,52772.000 jobs + people / sq. mi.,129253.000 jobs,"311.000 crimes / 10,000 people",0.864 diversity score (0-1 scale),19691.000 jobs,19.500 percent,0.880 relative diversity,75.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.992 fatal crashes,258.000 buses and trains,9544.000 dollars,25.110 miles per hour,1.590 trips
41.9227067,"Bucktown, Chicago, IL",-87.68027479999999,78,80195,29,4,8,4,10,34,7,686,34.800 percent,0.081 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000001700000000000000000 air toxicity index,88.400 percent,99.200 percent,14.000 priority score,20.000 percent,"54.349 discharges / 1,000 Medicare enrollees",12.500 percent,31,17,56,41,73,33,69,5.000 stores and markets,0.000 libraries,3.000 parks,14996.000 jobs + people / sq. mi.,261884.000 jobs,"311.000 crimes / 10,000 people",0.837 diversity score (0-1 scale),34361.000 jobs,3.300 percent,0.673 relative diversity,83.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.576 fatal crashes,99.000 buses and trains,9685.000 dollars,47.220 miles per hour,1.050 trips
41.8802802,"Central Chicago, Chicago, IL",-87.6235719,78,87250,24,5,12,10,10,4,6,1143,1.600 percent,0.122 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,54.400 percent,99.200 percent,0.000 priority score,15.300 percent,"54.349 discharges / 1,000 Medicare enrollees",13.200 percent,27,34,68,34,82,18,95,24.000 stores and markets,1.000 libraries,4.000 parks,31147.000 jobs + people / sq. mi.,372668.000 jobs,"311.000 crimes / 10,000 people",0.823 diversity score (0-1 scale),148415.000 jobs,37.900 percent,0.572 relative diversity,62.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,5.082 fatal crashes,1870.000 buses and trains,9947.000 dollars,28.370 miles per hour,1.550 trips
41.8781136,"Chicago, Chicago, IL",-87.6297982,78,69030,16,3,5,21,10,4,17,2295,10.800 percent,0.116 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,47.400 percent,99.200 percent,0.000 priority score,20.100 percent,"54.349 discharges / 1,000 Medicare enrollees",14.500 percent,30,35,63,54,80,19,100,35.000 stores and markets,0.000 libraries,3.000 parks,208520.000 jobs + people / sq. mi.,551094.000 jobs,"311.000 crimes / 10,000 people",0.866 diversity score (0-1 scale),221882.000 jobs,15.200 percent,0.595 relative diversity,62.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.799 fatal crashes,1810.000 buses and trains,9149.000 dollars,30.570 miles per hour,20.000 trips
41.9271746,"Sheffield&DePaul, Chicago, IL",-87.65364269999999,78,110875,10,3,1,7,10,9,4,1820,98.400 percent,0.093 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,18.100 percent,"54.349 discharges / 1,000 Medicare enrollees",12.100 percent,39,56,67,38,74,34,95,4.000 stores and markets,0.000 libraries,5.000 parks,33173.000 jobs + people / sq. mi.,136484.000 jobs,"311.000 crimes / 10,000 people",0.856 diversity score (0-1 scale),38012.000 jobs,4.000 percent,0.598 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.197 fatal crashes,255.000 buses and trains,8952.000 dollars,26.130 miles per hour,1.260 trips
41.9836852,"Edgewater, Chicago, IL",-87.66011410000002,78,64967,27,5,10,2,10,30,19,1512,97.400 percent,0.110 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,88.300 percent,99.200 percent,14.000 priority score,24.300 percent,"54.349 discharges / 1,000 Medicare enrollees",15.800 percent,40,28,50,63,80,34,99,14.000 stores and markets,1.000 libraries,6.000 parks,24425.000 jobs + people / sq. mi.,108831.000 jobs,"311.000 crimes / 10,000 people",0.840 diversity score (0-1 scale),27064.000 jobs,20.600 percent,0.814 relative diversity,71.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.577 fatal crashes,176.000 buses and trains,9513.000 dollars,27.720 miles per hour,1.900 trips
41.985577,"Edgewater Beach, Chicago, IL",-87.6552269,78,58902,48,25,23,8,10,0,2,955,43.600 percent,0.116 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,20.000 percent,99.200 percent,14.000 priority score,24.200 percent,"54.349 discharges / 1,000 Medicare enrollees",14.400 percent,31,38,50,71,68,39,76,7.000 stores and markets,0.000 libraries,3.000 parks,13655.000 jobs + people / sq. mi.,94286.000 jobs,"311.000 crimes / 10,000 people",0.814 diversity score (0-1 scale),22599.000 jobs,13.000 percent,0.817 relative diversity,82.200 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.418 fatal crashes,223.000 buses and trains,10136.000 dollars,31.070 miles per hour,0.540 trips
42.0450722,"Evanston, Chicago, IL",-87.68769689999999,78,52117,48,29,5,13,10,3,9,1233,18.100 percent,0.184 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,20.500 percent,"35.629 discharges / 1,000 Medicare enrollees",12.000 percent,33,56,75,53,79,52,93,6.000 stores and markets,1.000 libraries,7.000 parks,22917.000 jobs + people / sq. mi.,62847.000 jobs,"311.000 crimes / 10,000 people",0.747 diversity score (0-1 scale),35595.000 jobs,10.800 percent,0.909 relative diversity,89.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.893 fatal crashes,153.000 buses and trains,9613.000 dollars,26.840 miles per hour,1.390 trips
41.7396861,"South Chicago, Chicago, IL",-87.5544182,78,28371,27,9,60,0,10,37,31,1210,100.000 percent,0.157 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,15.000 priority score,39.200 percent,"54.349 discharges / 1,000 Medicare enrollees",25.200 percent,44,56,33,56,64,28,88,6.000 stores and markets,0.000 libraries,3.000 parks,15993.000 jobs + people / sq. mi.,50355.000 jobs,"311.000 crimes / 10,000 people",0.696 diversity score (0-1 scale),10526.000 jobs,33.700 percent,0.785 relative diversity,62.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,6.707 fatal crashes,109.000 buses and trains,11258.000 dollars,25.000 miles per hour,1.680 trips
41.9066994,"Gold Coast, Chicago, IL",-87.6253308,78,74796,39,23,0,7,10,5,10,923,37.200 percent,0.119 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,84.200 percent,99.200 percent,0.000 priority score,19.600 percent,"54.349 discharges / 1,000 Medicare enrollees",8.900 percent,34,28,69,39,75,48,90,14.000 stores and markets,0.000 libraries,3.000 parks,33395.000 jobs + people / sq. mi.,223068.000 jobs,"311.000 crimes / 10,000 people",0.872 diversity score (0-1 scale),79560.000 jobs,10.500 percent,0.852 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.190 fatal crashes,356.000 buses and trains,7533.000 dollars,35.780 miles per hour,1.250 trips
41.9538222,"Irving Park, Chicago, IL",-87.7192875,78,64583,23,7,13,7,10,18,11,1240,68.800 percent,0.077 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,61.800 percent,99.200 percent,0.000 priority score,30.400 percent,"54.349 discharges / 1,000 Medicare enrollees",21.800 percent,34,33,50,56,78,43,94,7.000 stores and markets,1.000 libraries,1.000 parks,17161.000 jobs + people / sq. mi.,207364.000 jobs,"311.000 crimes / 10,000 people",0.775 diversity score (0-1 scale),30840.000 jobs,6.100 percent,0.904 relative diversity,76.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.900 fatal crashes,247.000 buses and trains,9971.000 dollars,26.290 miles per hour,1.410 trips
41.9254701,"Lincoln Park, Chicago, IL",-87.64877829999999,78,69450,12,1,1,15,10,2,28,1539,88.700 percent,0.094 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,18.100 percent,"54.349 discharges / 1,000 Medicare enrollees",12.100 percent,37,56,67,40,80,33,90,3.000 stores and markets,1.000 libraries,6.000 parks,35667.000 jobs + people / sq. mi.,158989.000 jobs,"311.000 crimes / 10,000 people",0.855 diversity score (0-1 scale),43796.000 jobs,14.000 percent,0.570 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.305 fatal crashes,294.000 buses and trains,9045.000 dollars,25.400 miles per hour,0.850 trips
41.7644001,"Marquette Park, Chicago, IL",-87.70285559999999,78,36000,36,17,70,3,10,7,21,1476,29.500 percent,0.108 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,14.000 priority score,42.300 percent,"54.349 discharges / 1,000 Medicare enrollees",27.700 percent,32,56,30,57,61,35,78,5.000 stores and markets,0.000 libraries,2.000 parks,2568.000 jobs + people / sq. mi.,54384.000 jobs,"311.000 crimes / 10,000 people",0.662 diversity score (0-1 scale),9347.000 jobs,28.900 percent,0.911 relative diversity,58.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,5.254 fatal crashes,195.000 buses and trains,11586.000 dollars,26.100 miles per hour,0.790 trips
41.70799419999999,"Near East Side, Chicago, IL",-87.535173,78,26023,24,8,0,0,10,79,29,1268,97.600 percent,0.183 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,2.400 percent,99.200 percent,17.000 priority score,31.600 percent,"54.349 discharges / 1,000 Medicare enrollees",18.400 percent,44,48,41,51,69,33,82,5.000 stores and markets,1.000 libraries,2.000 parks,11559.000 jobs + people / sq. mi.,58834.000 jobs,"311.000 crimes / 10,000 people",0.467 diversity score (0-1 scale),5154.000 jobs,28.000 percent,0.766 relative diversity,76.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,7.541 fatal crashes,117.000 buses and trains,12373.000 dollars,26.780 miles per hour,1.550 trips
41.9467449,"North Center, Chicago, IL",-87.6882569,78,53958,13,2,0,2,10,0,0,599,83.300 percent,0.079 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,66.300 percent,99.200 percent,0.000 priority score,20.400 percent,"54.349 discharges / 1,000 Medicare enrollees",12.500 percent,35,32,65,39,72,49,93,6.000 stores and markets,0.000 libraries,2.000 parks,21816.000 jobs + people / sq. mi.,159674.000 jobs,"311.000 crimes / 10,000 people",0.808 diversity score (0-1 scale),25335.000 jobs,3.800 percent,0.872 relative diversity,89.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.958 fatal crashes,189.000 buses and trains,9770.000 dollars,26.750 miles per hour,1.360 trips
41.90391,"North Side, Chicago, IL",-87.6314629,78,72043,34,21,0,0,10,11,15,511,100.000 percent,0.113 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,19.000 percent,"54.349 discharges / 1,000 Medicare enrollees",8.700 percent,41,56,70,50,83,45,100,17.000 stores and markets,1.000 libraries,6.000 parks,55372.000 jobs + people / sq. mi.,214866.000 jobs,"311.000 crimes / 10,000 people",0.860 diversity score (0-1 scale),103709.000 jobs,25.100 percent,0.803 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.277 fatal crashes,571.000 buses and trains,7929.000 dollars,27.640 miles per hour,1.940 trips
41.9110773,"Old Town, Chicago, IL",-87.6410116,78,134531,24,4,21,6,10,1,8,1056,98.000 percent,0.103 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,99.900 percent,99.200 percent,0.000 priority score,22.500 percent,"54.349 discharges / 1,000 Medicare enrollees",11.500 percent,39,23,64,36,73,45,96,3.000 stores and markets,0.000 libraries,4.000 parks,32353.000 jobs + people / sq. mi.,216544.000 jobs,"311.000 crimes / 10,000 people",0.923 diversity score (0-1 scale),64010.000 jobs,10.500 percent,0.813 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.090 fatal crashes,221.000 buses and trains,8894.000 dollars,25.000 miles per hour,1.340 trips
41.9110773,"Old Town Triangle, Chicago, IL",-87.6410116,78,134531,24,4,21,6,10,1,8,1056,98.000 percent,0.103 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,99.900 percent,99.200 percent,0.000 priority score,22.500 percent,"54.349 discharges / 1,000 Medicare enrollees",11.500 percent,39,23,64,36,73,45,96,3.000 stores and markets,0.000 libraries,4.000 parks,32353.000 jobs + people / sq. mi.,216544.000 jobs,"311.000 crimes / 10,000 people",0.923 diversity score (0-1 scale),64010.000 jobs,10.500 percent,0.813 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.090 fatal crashes,221.000 buses and trains,8894.000 dollars,25.000 miles per hour,1.340 trips
41.9953936,"Palatine, Chicago, IL",-87.8062144,78,87250,47,23,0,0,10,2,10,1079,52.000 percent,0.155 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,50.900 percent,99.200 percent,0.000 priority score,22.400 percent,"54.349 discharges / 1,000 Medicare enrollees",14.100 percent,37,34,62,27,79,46,76,3.000 stores and markets,1.000 libraries,3.000 parks,9955.000 jobs + people / sq. mi.,187263.000 jobs,"311.000 crimes / 10,000 people",0.369 diversity score (0-1 scale),23710.000 jobs,0.000 percent,0.888 relative diversity,84.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.829 fatal crashes,52.000 buses and trains,12608.000 dollars,25.230 miles per hour,0.880 trips
41.9289391,"Park West, Chicago, IL",-87.64412659999999,78,66792,15,2,2,2,10,2,10,924,100.000 percent,0.097 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,17.900 percent,"54.349 discharges / 1,000 Medicare enrollees",11.200 percent,40,56,68,54,75,34,99,8.000 stores and markets,0.000 libraries,6.000 parks,43858.000 jobs + people / sq. mi.,142447.000 jobs,"311.000 crimes / 10,000 people",0.840 diversity score (0-1 scale),47717.000 jobs,5.900 percent,0.589 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.202 fatal crashes,281.000 buses and trains,8018.000 dollars,25.000 miles per hour,1.220 trips
41.8524902,"Pilsen, Chicago, IL",-87.6562598,78,25455,19,7,0,0,10,96,46,1756,50.100 percent,0.102 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.000000029460000000000000 air toxicity index,0.000 percent,99.200 percent,17.000 priority score,35.100 percent,"54.349 discharges / 1,000 Medicare enrollees",22.700 percent,34,22,36,59,81,48,92,9.000 stores and markets,1.000 libraries,3.000 parks,28820.000 jobs + people / sq. mi.,215423.000 jobs,"311.000 crimes / 10,000 people",0.883 diversity score (0-1 scale),48313.000 jobs,16.700 percent,0.933 relative diversity,81.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,5.913 fatal crashes,56.333 buses and trains,8704.000 dollars,26.550 miles per hour,1.710 trips
41.9688072,"Ravenswood, Chicago, IL",-87.6791713,78,53973,40,13,3,5,10,35,3,1489,70.300 percent,0.090 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,15.000 priority score,21.200 percent,"54.349 discharges / 1,000 Medicare enrollees",12.900 percent,35,56,54,46,77,35,95,8.000 stores and markets,0.000 libraries,2.000 parks,39507.000 jobs + people / sq. mi.,89655.000 jobs,"311.000 crimes / 10,000 people",0.752 diversity score (0-1 scale),40506.000 jobs,0.000 percent,0.738 relative diversity,81.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.727 fatal crashes,166.000 buses and trains,9100.000 dollars,26.710 miles per hour,1.340 trips
41.89238479999999,"River North, Chicago, IL",-87.6340749,78,59605,13,2,1,17,10,27,6,1889,47.500 percent,0.114 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,91.700 percent,99.200 percent,0.000 priority score,19.100 percent,"54.349 discharges / 1,000 Medicare enrollees",10.900 percent,34,27,67,41,76,20,100,25.000 stores and markets,0.000 libraries,1.000 parks,71322.000 jobs + people / sq. mi.,362578.000 jobs,"311.000 crimes / 10,000 people",0.895 diversity score (0-1 scale),185822.000 jobs,12.900 percent,0.573 relative diversity,67.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.678 fatal crashes,664.000 buses and trains,8113.000 dollars,28.020 miles per hour,3.620 trips
42.0126294,"Rogers Park, Chicago, IL",-87.6745883,78,50938,8,0,16,0,10,66,25,873,100.000 percent,0.129 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,15.000 priority score,32.700 percent,"54.349 discharges / 1,000 Medicare enrollees",22.600 percent,42,56,39,58,82,30,96,21.000 stores and markets,1.000 libraries,6.000 parks,48050.000 jobs + people / sq. mi.,59694.000 jobs,"311.000 crimes / 10,000 people",0.623 diversity score (0-1 scale),35448.000 jobs,4.500 percent,0.787 relative diversity,67.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.472 fatal crashes,157.000 buses and trains,9284.000 dollars,25.700 miles per hour,1.350 trips
41.9216605,"Sheffield Neighbors, Chicago, IL",-87.65833750000002,78,97639,27,10,2,4,10,8,10,2037,54.700 percent,0.089 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.000112530000000000000000 air toxicity index,0.000 percent,99.200 percent,0.000 priority score,21.900 percent,"54.349 discharges / 1,000 Medicare enrollees",15.400 percent,33,54,61,29,83,48,87,7.000 stores and markets,1.000 libraries,7.000 parks,21387.000 jobs + people / sq. mi.,192019.000 jobs,"311.000 crimes / 10,000 people",0.845 diversity score (0-1 scale),34127.000 jobs,3.900 percent,0.858 relative diversity,90.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,3.549 fatal crashes,105.000 buses and trains,10540.000 dollars,25.670 miles per hour,1.160 trips
41.9688072,"South East Ravenswood, Chicago, IL",-87.6791713,78,53973,40,13,3,5,10,35,3,1489,70.300 percent,0.090 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,15.000 priority score,21.200 percent,"54.349 discharges / 1,000 Medicare enrollees",12.900 percent,35,56,54,46,77,35,95,8.000 stores and markets,0.000 libraries,2.000 parks,39507.000 jobs + people / sq. mi.,89655.000 jobs,"311.000 crimes / 10,000 people",0.752 diversity score (0-1 scale),40506.000 jobs,0.000 percent,0.738 relative diversity,81.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,2.727 fatal crashes,166.000 buses and trains,9100.000 dollars,26.710 miles per hour,1.340 trips
41.8674081,"South Loop, Chicago, IL",-87.6275005,78,97353,21,3,22,17,10,6,3,3144,37.600 percent,0.119 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,17.600 percent,99.200 percent,16.000 priority score,24.300 percent,"54.349 discharges / 1,000 Medicare enrollees",13.300 percent,34,41,51,34,77,31,87,8.000 stores and markets,0.000 libraries,10.000 parks,10765.000 jobs + people / sq. mi.,232895.000 jobs,"311.000 crimes / 10,000 people",0.971 diversity score (0-1 scale),104356.000 jobs,4.500 percent,0.830 relative diversity,62.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,5.535 fatal crashes,461.000 buses and trains,9817.000 dollars,27.460 miles per hour,1.050 trips
41.7589929,"South Shore, Chicago, IL",-87.5700257,78,32232,38,14,97,0,10,1,9,956,71.200 percent,0.146 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.200 percent,15.000 priority score,39.100 percent,"54.349 discharges / 1,000 Medicare enrollees",19.600 percent,38,56,37,54,71,42,86,7.000 stores and markets,1.000 libraries,1.000 parks,12307.000 jobs + people / sq. mi.,75386.000 jobs,"311.000 crimes / 10,000 people",0.541 diversity score (0-1 scale),22010.000 jobs,23.500 percent,0.885 relative diversity,77.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,7.063 fatal crashes,166.000 buses and trains,10755.000 dollars,25.570 miles per hour,1.320 trips
41.8927362,"Streeterville, Chicago, IL",-87.6200416,78,56986,17,3,0,29,10,7,9,970,61.100 percent,0.130 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,96.800 percent,99.200 percent,0.000 priority score,17.300 percent,"54.349 discharges / 1,000 Medicare enrollees",9.300 percent,36,25,71,45,82,20,100,18.000 stores and markets,0.000 libraries,11.000 parks,138895.000 jobs + people / sq. mi.,264704.000 jobs,"311.000 crimes / 10,000 people",0.864 diversity score (0-1 scale),128871.000 jobs,3.200 percent,0.567 relative diversity,67.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,4.279 fatal crashes,1192.000 buses and trains,7035.000 dollars,29.720 miles per hour,4.600 trips
41.8786351,"The Loop, Chicago, IL",-87.6250549,78,87250,24,5,12,10,10,4,6,1143,1.600 percent,0.122 institutions,5.387 organizations,0.934 involvement index,11.000 days,1.200 percent,0.0000000000000000000000000000 air toxicity index,54.400 percent,99.200 percent,0.000 priority score,15.300 percent,"54.349 discharges / 1,000 Medicare enrollees",13.200 percent,27,34,68,34,82,18,95,24.000 stores and markets,1.000 libraries,4.000 parks,31147.000 jobs + people / sq. mi.,372668.000 jobs,"311.000 crimes / 10,000 people",0.823 diversity score (0-1 scale),148415.000 jobs,37.900 percent,0.572 relative diversity,62.000 percent,0.503 coefficient,0.784 jobs / worker,100.000 percent,34.783 hours,5.082 fatal crashes,1870.000 buses and trains,9947.000 dollars,28.370 miles per hour,1.550 trips
